,time,Sid,HRCount,FanEngageScore,TapCounts,WaveCounts,WhistlesRedeemed,HRDeviceTypeId,Id,Retweet count,polarity_C,subjectivity,sentiment,highlights
53,30-04-2021 20:22,1236,82.5,6.3,34.5,56.5,675,3,1.39E+18,9.305555556,0.066666667,0.15617284,0.055555556,1
54,30-04-2021 20:23,1236,71.5,5.25,34.5,56.5,675,3,1.39E+18,4.324324324,0.010508073,0.188336551,0.162162162,-1
55,30-04-2021 20:24,1236,90,6.55,34.5,56.5,675,3,1.39E+18,9.505494505,0.009021613,0.254543869,0.208791209,0
56,30-04-2021 20:25,1236,71.5,5.25,34.5,56.5,675,3,1.39E+18,6.255319149,0.105585106,0.290687268,0.234042553,-2
57,30-04-2021 20:26,1236,70.5,5.25,34.5,56.5,675,3,1.39E+18,22.52631579,0.098355263,0.255263158,0.368421053,0
58,30-04-2021 20:27,1236,81.5,6.3,34.5,56.5,675,3,1.39E+18,17.77419355,0.05188172,0.277956989,0.225806452,6
59,30-04-2021 20:28,1236,86.5,6.55,34.5,56.5,675,3,1.39E+18,19.38297872,0.118705674,0.186879433,0.234042553,1
60,30-04-2021 20:29,1236,87,6.55,34.5,56.5,675,3,1.39E+18,14.94871795,0.107342657,0.190598291,0.153846154,-3
61,30-04-2021 20:30,1236,84,6.7,34.5,59.5,675,3,1.39E+18,22.03896104,-0.00457825,0.218253968,-0.051948052,-3
62,30-04-2021 20:31,1236,71.5,5.25,34.5,59.5,675,3,1.39E+18,3.619047619,0.066665292,0.242155913,0.171428571,-1
63,30-04-2021 20:32,1236,85.5,6.3,34.5,59.5,675,3,1.39E+18,8.914285714,-0.056479592,0.212352608,-0.171428571,1
64,30-04-2021 20:33,1236,67,5.25,34.5,59.5,675,3,1.39E+18,4.288461538,0.052616134,0.217214036,0.115384615,-3
65,30-04-2021 20:34,1236,76.5,6.3,34.5,59.5,675,3,1.39E+18,24.34615385,0.088071496,0.284354226,0.166666667,0
66,30-04-2021 20:35,1236,72,5.25,34.5,59.5,675,3,1.39E+18,10.15,0.055889423,0.199855769,0.1125,1
67,30-04-2021 20:36,1236,83,6.3,34.5,59.5,675,3,1.39E+18,7.875,0.004053288,0.192502834,0,1
68,30-04-2021 20:37,1236,79.5,6.55,14.5,52.5,675,3,1.39E+18,23.01449275,0.07259796,0.249463231,0.231884058,1
69,30-04-2021 20:38,1236,79.5,6.6,39.5,74.5,675,3,1.39E+18,8.905660377,-0.007522212,0.160220625,-0.094339623,1
70,30-04-2021 20:39,1236,80,6.3,39.5,74.5,675,3,1.39E+18,8.205882353,0.163779956,0.211791939,0.235294118,-1
71,30-04-2021 20:40,1236,65.5,4.2,39.5,74.5,675,3,1.39E+18,9.743902439,0.088526452,0.238921151,0.280487805,-3
72,30-04-2021 20:41,1236,69,5.25,39.5,75,675,3,1.39E+18,3.75,0.070133959,0.248314815,0.2375,1
73,30-04-2021 20:42,1236,81,6.65,39.5,75,675,3,1.39E+18,53.61538462,0.084360701,0.201721273,0.205128205,0
74,30-04-2021 20:43,1236,70.5,5.25,39.5,75,675,3,1.39E+18,6.245901639,0.086082527,0.205299679,0.213114754,-1
75,30-04-2021 20:44,838,86,6.566666667,454,80.66666667,454.3333333,3,1.39E+18,18.13186813,0.095009884,0.223922176,0.10989011,0
76,30-04-2021 20:45,1236,88.5,6.55,39.5,75,675,3,1.39E+18,11.65079365,0.008450911,0.229423868,0.079365079,-3
77,30-04-2021 20:46,1236,81,6.3,39.5,75,675,3,1.39E+18,11.15873016,0.111696061,0.311893004,0.222222222,-3
78,30-04-2021 20:47,838,85.66666667,6.466666667,454,80.66666667,454.3333333,3,1.39E+18,25.93023256,0.049949886,0.268992444,0.186046512,1
79,30-04-2021 20:48,1236,77.5,6.3,39.5,75,675,3,1.39E+18,12.52857143,0.068955301,0.212825775,0.3,1
80,30-04-2021 20:49,1236,77.5,5.25,39.5,75,675,3,1.39E+18,14.95774648,0.004059356,0.364258887,0.253521127,1
81,30-04-2021 20:50,1236,77,6.3,39.5,75,675,3,1.39E+18,29.35483871,0.114251579,0.206741765,0.376344086,2
82,30-04-2021 20:51,1236,82,6.3,39.5,75,675,3,1.39E+18,17.8255814,-0.030216408,0.195865633,0,1
83,30-04-2021 20:52,1236,72.5,5.25,39.5,75,675,3,1.39E+18,22.81896552,0.054672961,0.222134647,0.137931034,1
84,30-04-2021 20:53,1236,79,6.3,14.5,53,675,3,1.39E+18,15.06451613,0.159818228,0.274475166,0.298387097,2
85,30-04-2021 20:54,1,78,6.3,29,106,1350,3,1.39E+18,14.28735632,0.076692209,0.309786079,0.367816092,1
86,30-04-2021 20:55,1,66,4.2,29,106,1350,3,1.39E+18,14.78,0.188808081,0.195222222,0.24,1
87,30-04-2021 20:56,1,81,6.3,29,106,1350,3,1.39E+18,45.60714286,0.054761905,0.276587302,0.035714286,1
88,30-04-2021 20:57,1,74,6.3,29,106,1350,3,1.39E+18,45.47297297,0.058457646,0.369321107,0.162162162,-3
89,30-04-2021 20:58,1,78,6.3,29,106,1350,3,1.39E+18,74.29347826,0.14613354,0.338571429,0.315217391,4
90,30-04-2021 20:59,21.5,68,5.25,656,99,681.5,3,1.39E+18,73.78217822,0.118059663,0.377478462,0.207920792,6
91,30-04-2021 21:00,1236,102,7.15,14.5,53.5,675,3,1.39E+18,17.27906977,0.193669251,0.329102067,0.511627907,4
92,30-04-2021 21:01,1,65,4.2,29,106,1350,3,1.39E+18,168.3007519,0.209189044,0.40896348,0.45112782,0
93,30-04-2021 21:02,1,85,6.3,29,106,1350,3,1.39E+18,6.183673469,0.115014577,0.226749271,0.183673469,1
94,30-04-2021 21:03,1236,71,5.25,14.5,54,675,3,1.39E+18,16.23728814,0.090677966,0.278248588,0.237288136,1
95,30-04-2021 21:04,874.6666667,85,6.3,111.6666667,44.33333333,451.6666667,3,1.39E+18,169.5074627,0.143419267,0.375621891,0.373134328,0
96,30-04-2021 21:05,1311.5,80.5,6.3,153,13.5,2.5,3,1.39E+18,54.28571429,0.125,0.407738095,0.178571429,4
97,30-04-2021 21:06,1311.5,77.5,5.5,153,14,2.5,3,1.39E+18,22.89552239,0.050368288,0.257436034,0.149253731,1
98,30-04-2021 21:07,76.5,84,6.3,167.5,65.5,677.5,3,1.39E+18,18.84615385,0.13209707,0.363044363,0.192307692,4
99,30-04-2021 21:08,76.5,92.5,6.8,167.5,65.5,677.5,3,1.39E+18,16.77777778,0.147184811,0.385026188,0.166666667,6
100,30-04-2021 21:09,76.5,79.5,6.3,167.5,65.5,677.5,3,1.39E+18,9.480769231,0.134251166,0.317322261,0.288461538,4
101,30-04-2021 21:10,76.5,82,6.3,167.5,65.5,677.5,3,1.39E+18,5.939393939,0.114416896,0.36315427,0.363636364,6
102,30-04-2021 21:11,76.5,87.5,6.55,167.5,65.5,677.5,3,1.39E+18,13.28440367,0.087813092,0.215947648,0.119266055,-3
103,30-04-2021 21:12,76.5,79.5,6.3,167.5,65.5,677.5,3,1.39E+18,8.849462366,0.147017487,0.291523841,0.376344086,-3
104,30-04-2021 21:13,65,89.66666667,6.633333333,539.3333333,74.33333333,456,3,1.39E+18,28.93103448,0.107948139,0.362151067,0.287356322,-3
105,30-04-2021 21:14,76.5,87.5,6.55,167.5,65.5,677.5,3,1.39E+18,24.62658228,0.14786792,0.285945691,0.272151899,-3
106,30-04-2021 21:15,76.5,88,6.55,167.5,65.5,677.5,3,1.39E+18,26.1827957,0.11198436,0.286400022,0.268817204,-3
107,30-04-2021 21:16,65,78.33333333,6.3,539.3333333,74.33333333,456,3,1.39E+18,19.56198347,0.103563423,0.403115452,0.247933884,-3
108,30-04-2021 21:17,65,86.33333333,6.466666667,539.3333333,74.33333333,456,3,1.39E+18,46.65,0.106191919,0.234204545,0.23,-3
109,30-04-2021 21:18,65,84,6.3,539.3333333,74.33333333,456,3,1.39E+18,45.6,0.102312049,0.209866883,0.21,-3
110,30-04-2021 21:19,666.5,81.5,6.3,404.5,56.5,342,3,1.39E+18,22.98518519,0.162276736,0.27242451,0.288888889,-3
111,30-04-2021 21:20,666.5,76,5.775,404.5,56.75,342,3,1.39E+18,18.26143791,0.068622676,0.285931797,0.261437908,-3
112,30-04-2021 21:21,666.5,83,6.075,445.25,63,342.25,3,1.39E+18,10.75268817,0.184991039,0.284363799,0.365591398,-3
113,30-04-2021 21:22,666.5,84.5,6.425,445.25,63,342.25,3,1.39E+18,22.671875,0.187138968,0.295975379,0.3828125,-3
114,30-04-2021 21:23,666.5,80.5,6.425,445.25,63,342.25,3,1.39E+18,26.77372263,0.147043559,0.255032468,0.474452555,-3
115,30-04-2021 21:24,666.5,83.25,6.025,445.25,63,342.25,3,1.39E+18,21.68224299,0.175736335,0.264629944,0.317757009,-3
116,30-04-2021 21:25,666.5,72,5.775,445.25,63,342.25,3,1.39E+18,73.61714286,0.134138889,0.206373016,0.188571429,-3
117,30-04-2021 21:26,666.5,71.25,5.25,445.25,63,342.25,3,1.39E+18,30.3359375,0.105136817,0.19835464,0.2421875,-3
118,30-04-2021 21:27,666.5,81,6.3,445.25,63,342.25,3,1.39E+18,36.83673469,0.02882377,0.13635701,0.06122449,1
119,30-04-2021 21:28,666.5,84.75,6.425,445.25,63,342.25,3,1.39E+18,62.30769231,0.133377849,0.295726496,0.076923077,0
120,30-04-2021 21:29,666.5,83.75,6.2,445.25,63,342.25,3,1.39E+18,77.14130435,0.16763285,0.279710145,0.380434783,4
121,30-04-2021 21:30,666.5,78.5,5.775,445.25,63,342.25,3,1.39E+18,21.94017094,0.042445055,0.205372405,0.179487179,1
122,30-04-2021 21:31,666.5,81.25,5.9,445.25,63,342.25,3,1.39E+18,62.62068966,0.145186782,0.284231322,0.353448276,4
123,30-04-2021 21:32,666.5,79.25,5.9,445.25,63,342.25,3,1.39E+18,62.90804598,0.047335423,0.283269476,0.149425287,0
124,30-04-2021 21:33,666.5,87,6.425,445.25,63,342.25,3,1.39E+18,105.1052632,0.118448821,0.279212235,0.394736842,1
125,30-04-2021 21:34,65,89.33333333,6.633333333,539.3333333,74.33333333,456,3,1.39E+18,34.10958904,0.11113792,0.29939809,0.342465753,0
126,30-04-2021 21:35,1027.4,85,6.4,388.8,56.2,274,3,1.39E+18,44.78676471,0.172423685,0.259345291,0.382352941,1
127,30-04-2021 21:36,65,76.66666667,6.3,539.3333333,74.33333333,456,3,1.39E+18,35.578125,0.070753762,0.258912037,0.296875,-3
128,30-04-2021 21:37,1027.4,79.4,5.88,388.8,56.2,274,3,1.39E+18,11.17021277,0.077659574,0.126595745,0.127659574,6
129,30-04-2021 21:38,666.5,74.5,5.775,445.25,63,342.25,3,1.39E+18,31.64566929,0.102936352,0.216338583,0.25984252,-1
130,30-04-2021 21:39,666.5,84.25,6.425,445.25,63.25,342.25,3,1.39E+18,59.56349206,0.145925454,0.218688587,0.261904762,1
131,30-04-2021 21:40,666.5,89.25,6.2,445.25,63.25,342.25,3,1.39E+18,16.63963964,0.071322459,0.169436103,0.306306306,0
132,30-04-2021 21:41,666.5,83.5,6.425,445.25,63.25,342.25,3,1.39E+18,65.51515152,0.089909703,0.250310683,0.193939394,0
133,30-04-2021 21:42,65,74.66666667,5.6,539.3333333,74.66666667,456,3,1.39E+18,33.63461538,0.209287587,0.39775641,0.461538462,1
