time,Sid,HRCount,FanEngageScore,TapCounts,WaveCounts,WhistlesRedeemed,TeamName,HRDeviceTypeId
30-04-2021 21:11,1,82,6.3,29,106,1350,Bangalore,3
30-04-2021 21:12,1,83,6.3,29,106,1350,Bangalore,3
30-04-2021 21:13,1,78,6.3,29,106,1350,Bangalore,3
30-04-2021 21:14,1,84,6.3,29,106,1350,Bangalore,3
30-04-2021 21:15,1,90,6.8,29,106,1350,Bangalore,3
30-04-2021 21:16,1,72,6.3,29,106,1350,Bangalore,3
30-04-2021 21:17,1,76,6.3,29,106,1350,Bangalore,3
30-04-2021 21:18,1,77,6.3,29,106,1350,Bangalore,3
30-04-2021 21:19,1,74,6.3,29,106,1350,Bangalore,3
30-04-2021 21:20,1,77,6.3,29,106,1350,Bangalore,3
30-04-2021 21:21,1,87,6.3,29,106,1350,Bangalore,3
30-04-2021 21:22,1,78,6.3,29,106,1350,Bangalore,3
30-04-2021 21:23,1,74,6.3,29,106,1350,Bangalore,3
30-04-2021 21:24,1,91,6.8,29,106,1350,Bangalore,3
30-04-2021 21:25,1,79,6.3,29,106,1350,Bangalore,3
30-04-2021 21:26,1,71,6.3,29,106,1350,Bangalore,3
30-04-2021 21:27,1,78,6.3,29,106,1350,Bangalore,3
30-04-2021 21:28,1,76,6.3,29,106,1350,Bangalore,3
30-04-2021 21:29,1,73,6.3,29,106,1350,Bangalore,3
30-04-2021 21:30,1,81,6.3,29,106,1350,Bangalore,3
30-04-2021 21:31,1,78,6.3,29,106,1350,Bangalore,3
30-04-2021 21:32,1,79,6.3,29,106,1350,Bangalore,3
30-04-2021 21:33,1,79,6.3,29,106,1350,Bangalore,3
30-04-2021 21:34,1,77,6.3,29,106,1350,Bangalore,3
30-04-2021 21:35,1,79,6.3,29,106,1350,Bangalore,3
30-04-2021 21:36,1,77,6.3,29,106,1350,Bangalore,3
30-04-2021 21:37,1,84,6.3,29,106,1350,Bangalore,3
30-04-2021 21:38,1,77,6.3,29,106,1350,Bangalore,3
30-04-2021 21:39,1,78,6.3,29,106,1350,Bangalore,3
30-04-2021 21:40,1,84,6.3,29,106,1350,Bangalore,3
30-04-2021 21:41,1,83,6.3,29,106,1350,Bangalore,3
30-04-2021 21:42,1,80,6.3,29,106,1350,Bangalore,3
30-04-2021 21:43,1,77,6.3,29,106,1350,Bangalore,3
30-04-2021 21:44,1,77,6.3,29,106,1350,Bangalore,3
30-04-2021 21:45,1,78,6.3,29,106,1350,Bangalore,3
30-04-2021 21:46,1,83,6.3,29,106,1350,Bangalore,3
30-04-2021 21:47,1,75,6.3,29,106,1350,Bangalore,3
30-04-2021 21:48,1,86,6.3,29,106,1350,Bangalore,3
30-04-2021 21:49,1,81,6.3,29,106,1350,Bangalore,3
30-04-2021 22:00,1,75,6.3,29,108,1350,Bangalore,3
30-04-2021 22:01,1,72,6.3,29,108,1350,Bangalore,3
30-04-2021 22:02,1,73,6.3,29,108,1350,Bangalore,3
30-04-2021 22:03,1,74,6.3,29,108,1350,Bangalore,3
30-04-2021 22:04,1,73,6.3,29,108,1350,Bangalore,3
30-04-2021 22:05,1,73,6.3,29,108,1350,Bangalore,3
30-04-2021 22:06,1,77,6.3,29,108,1350,Bangalore,3
30-04-2021 22:07,1,76,6.3,29,108,1350,Bangalore,3
30-04-2021 22:08,1,75,6.3,29,108,1350,Bangalore,3
30-04-2021 22:10,1,76,6.3,29,108,1350,Bangalore,3
30-04-2021 22:10,1,70,6.3,29,108,1350,Bangalore,3
30-04-2021 22:11,1,81,6.3,29,108,1350,Bangalore,3
30-04-2021 22:12,1,74,6.3,29,108,1350,Bangalore,3
30-04-2021 22:13,1,69,4.2,29,108,1350,Bangalore,3
30-04-2021 22:14,1,76,6.3,29,108,1350,Bangalore,3
30-04-2021 22:15,1,76,6.3,29,108,1350,Bangalore,3
30-04-2021 22:16,1,88,6.3,29,108,1350,Bangalore,3
30-04-2021 22:17,1,77,6.3,29,108,1350,Bangalore,3
30-04-2021 22:18,1,79,6.3,29,108,1350,Bangalore,3
30-04-2021 22:19,1,83,6.3,29,108,1350,Bangalore,3
30-04-2021 22:20,1,79,6.3,29,108,1350,Bangalore,3
30-04-2021 22:21,1,80,6.3,29,108,1350,Bangalore,3
30-04-2021 22:22,1,75,6.3,29,108,1350,Bangalore,3
30-04-2021 22:23,1,65,4.2,29,108,1350,Bangalore,3
30-04-2021 22:24,1,82,6.3,29,108,1350,Bangalore,3
30-04-2021 22:25,1,80,6.3,29,108,1350,Bangalore,3
30-04-2021 22:26,1,82,6.3,29,108,1350,Bangalore,3
30-04-2021 22:27,1,77,6.3,29,108,1350,Bangalore,3
30-04-2021 22:28,1,65,4.2,29,108,1350,Bangalore,3
30-04-2021 22:30,1,65,4.2,29,108,1350,Bangalore,3
30-04-2021 22:30,1,85,6.3,29,108,1350,Bangalore,3
30-04-2021 22:31,1,82,6.3,29,108,1350,Bangalore,3
30-04-2021 22:32,1,83,6.3,29,108,1350,Bangalore,3
30-04-2021 19:28,42,99,7.9,1266,92,13,Bangalore,3
30-04-2021 19:29,42,103,6.8,1266,92,13,Bangalore,3
30-04-2021 19:30,42,100,6.8,1266,92,13,Bangalore,3
30-04-2021 19:31,42,99,6.8,1266,92,13,Bangalore,3
30-04-2021 19:32,42,98,6.8,1266,92,13,Bangalore,3
30-04-2021 19:33,42,99,6.8,1266,92,13,Bangalore,3
30-04-2021 19:34,42,100,6.8,1266,92,13,Bangalore,3
30-04-2021 19:35,42,98,6.8,1266,92,13,Bangalore,3
30-04-2021 19:36,42,94,6.8,1266,92,13,Bangalore,3
30-04-2021 19:37,42,96,6.8,1266,92,13,Bangalore,3
30-04-2021 19:38,42,93,6.8,1266,92,13,Bangalore,3
30-04-2021 19:39,42,100,6.8,1266,92,13,Bangalore,3
30-04-2021 19:40,42,96,6.8,1266,92,13,Bangalore,3
30-04-2021 19:41,42,94,6.8,1266,92,13,Bangalore,3
30-04-2021 19:42,42,96,6.8,1266,92,13,Bangalore,3
30-04-2021 19:43,42,98,6.8,1266,92,13,Bangalore,3
30-04-2021 19:44,42,94,6.8,1266,92,13,Bangalore,3
30-04-2021 19:45,42,96,6.8,1266,92,13,Bangalore,3
30-04-2021 19:46,42,99,6.8,1266,92,13,Bangalore,3
30-04-2021 19:47,42,71,6.3,1266,92,13,Bangalore,3
30-04-2021 19:48,42,96,6.8,1266,92,13,Bangalore,3
30-04-2021 19:49,42,96,6.8,1266,92,13,Bangalore,3
30-04-2021 19:50,42,89,6.3,1266,92,13,Bangalore,3
